location,latitude,longitude
Tis Hazari,28.6671626,77.2166306
Tughlakabad,28.5034421,77.2970508
Udyog Bhawan,28.6105302,77.2131076
Udyog Vihar,28.6822073,77.0884362
Udyog Vihar Phase 4,28.4971745,77.0813511
Uttam Nagar,28.6215226,77.0611064
Vaishali,25.7491702,85.3972164
Vasant Kunj,28.5292495,77.1541335
Vatika Chowk,26.8718646,80.9125355
Vidhan Sabha,26.843382,80.9440184
Vinobapuri,28.565871,77.2492973
Vishwavidyalaya,26.4964612,80.2674068
Welcome,35.9091368,-80.2540727
Yamuna Bank,28.6232554,77.2678697
